Chunk Number,Text Preview,Question,Answer,Term
6,"KIIT POLYTECHNIC Data Structure 3 Swagatika Dalai CLASSIFICATION OF DATA STRUCTURE Based on how the data items are operated, it will classify into two broad categories.  Primitive Data Structure  No...",What is the purpose of Linear Data Structure?,Linear Data Structure: In which the data items are stored in sequence order.,Linear Data Structure
6,"KIIT POLYTECHNIC Data Structure 3 Swagatika Dalai CLASSIFICATION OF DATA STRUCTURE Based on how the data items are operated, it will classify into two broad categories.  Primitive Data Structure  No...",Describe data structures.,"Example: Arrays, Linked Lists, Stacks and Queues Non Linear Data Structure: In Non-Linear data structures, the data items are not in sequence.",data structures
8,KIIT POLYTECHNIC Data Structure 5 Swagatika Dalai ALGORITHM: An algorithm is a method of representing the step by step logical procedure for solving a problem. It is a tool for finding the logic of a ...,What is the purpose of Input?,In addition every algorithm must satisfy the following criteria:  Input: There are zero or more quantities which are externally supplied.,Input
8,KIIT POLYTECHNIC Data Structure 5 Swagatika Dalai ALGORITHM: An algorithm is a method of representing the step by step logical procedure for solving a problem. It is a tool for finding the logic of a ...,Explain Complexity.,"ALGORITHM COMPLEXITY:  After designing an algorithm, we have to be checking its correctness.",Complexity
10,"KIIT POLYTECHNIC Data Structure 7 Swagatika Dalai 2. Variable space requirement: - This component consist of the space needed by structure variable whose size depends on the particular instruction I ,...",What is TIME?,TIME-SPACE TRADE-OFF:  There may be more than one approach (or algorithm) to solve a problem.,TIME
10,"KIIT POLYTECHNIC Data Structure 7 Swagatika Dalai 2. Variable space requirement: - This component consist of the space needed by structure variable whose size depends on the particular instruction I ,...",Describe SPACE TRADE.,TIME-SPACE TRADE-OFF:  There may be more than one approach (or algorithm) to solve a problem.,SPACE TRADE
12,Chapter-2 STRING PROCESSING A string in C is a array of character.  It is a one dimensional array type of char.  Every string is terminated by null character( ‘\0’) .  The predefined functions gets...,Define Strlen., Diffrent user defined functios are:  Strlen()  Strcpy()  Strcmp()  Strcat() Strlen():  The strlen( ) function is used to calculate the length of the string.,Strlen
12,Chapter-2 STRING PROCESSING A string in C is a array of character.  It is a one dimensional array type of char.  Every string is terminated by null character( ‘\0’) .  The predefined functions gets...,What is the purpose of Strcpy?, Diffrent user defined functios are:  Strlen()  Strcpy()  Strcmp()  Strcat() Strlen():  The strlen( ) function is used to calculate the length of the string.,Strcpy
12,Chapter-2 STRING PROCESSING A string in C is a array of character.  It is a one dimensional array type of char.  Every string is terminated by null character( ‘\0’) .  The predefined functions gets...,Describe Syntax.,"Syntax: char str_name[str_size]; Example: char s[5]; Initialization of strings char c[]=""abcd""; String handling functions  Many library function are defined under header file <string.h> to perform different tasks.",Syntax
13,"KIIT POLYTECHNIC Data Structure 9 Swagatika Dalai strcpy(Destination_String,Source_String); printf(""%s"", Destination_String); Output: Learn C Online Strcmp() • Strcmp() in C programming language is us...",What is the purpose of Output?,"KIIT POLYTECHNIC Data Structure 9 Swagatika Dalai strcpy(Destination_String,Source_String); printf(""%s"", Destination_String); Output: Learn C Online Strcmp() • Strcmp() in C programming language is used to compare two strings.",Output
13,"KIIT POLYTECHNIC Data Structure 9 Swagatika Dalai strcpy(Destination_String,Source_String); printf(""%s"", Destination_String); Output: Learn C Online Strcmp() • Strcmp() in C programming language is us...",Explain Strcmp.,"KIIT POLYTECHNIC Data Structure 9 Swagatika Dalai strcpy(Destination_String,Source_String); printf(""%s"", Destination_String); Output: Learn C Online Strcmp() • Strcmp() in C programming language is used to compare two strings.",Strcmp
13,"KIIT POLYTECHNIC Data Structure 9 Swagatika Dalai strcpy(Destination_String,Source_String); printf(""%s"", Destination_String); Output: Learn C Online Strcmp() • Strcmp() in C programming language is us...",Describe Syntax.,"Syntax: int strcmp(string1, string2); Example: char *string1 = ""Learn C Online""; char *string2 = ""Learn C Online""; int ret; ret=strcmp(string1, string2); printf(""%d"",ret); Output: 0 Strcat() • The strcat() function is used for string concatenation in C programming language.",Syntax
15,"Chapter-3 ARRAYS An array is a finite, ordered and collection of homogeneous data elements. finite – It contain limited no. of element. ordered – All the elements are stored one by one in a contiguous...",Explain Chapter.,"Chapter-3 ARRAYS An array is a finite, ordered and collection of homogeneous data elements.",Chapter
16,"KIIT POLYTECHNIC Data Structure 11 Swagatika Dalai Operation on Array 1. TRAVERSAL This operation is used to visit all the elements of the array. Void traverse (int a[], int n) { int i; for(i=0; i<n; ...",Describe Printf.,"Void traverse (int a[], int n) { int i; for(i=0; i<n; i++) Printf(“%d”,a[i]); } 2.",Printf
17,KIIT POLYTECHNIC Data Structure 12 Swagatika Dalai for (i = pos-1; i<n-1; i++) { a[i] = a[i+1]; } n- - ; return(0); } Memory Representation of 2D Array - The array having two subscript is called as 2D...,Explain Column.,Column-major order Row-major Order In row-major order the row elements are focused first that means elements of matrix are stored on a row-by-row basis.,Column
19,KIIT POLYTECHNIC Data Structure 14 Swagatika Dalai Address Calculation of Matrix in Memory Row-major order Suppose a [u1] [u2] is a 2D array u1 = no. of row u2 = no. of column Address of a[i][j] = b+(...,Explain Memory Row.,KIIT POLYTECHNIC Data Structure 14 Swagatika Dalai Address Calculation of Matrix in Memory Row-major order Suppose a [u1] [u2] is a 2D array u1 = no.,Memory Row
21,"KIIT POLYTECHNIC Data Structure 16 Swagatika Dalai of memory. To avoid such wastage, we can store only non-zero elements. If we store only non- zero elements, it reduces the traversal time and the sto...",What is zero element?,"To avoid such wastage, we can store only non-zero elements.",zero element
21,"KIIT POLYTECHNIC Data Structure 16 Swagatika Dalai of memory. To avoid such wastage, we can store only non-zero elements. If we store only non- zero elements, it reduces the traversal time and the sto...",Explain Column.,"2D array is used to represent a sparse matrix in which there are three rows named as  Row: Index of row, where non-zero element is located  Column: Index of column, where non-zero element is located  Value: Value of the non zero element located at index – (row,column) Linked List representation of the sparse matrix In a linked list representation, the linked list data structure is used to represent the sparse matrix.",Column
25,"KIIT POLYTECHNIC Data Structure 20 Swagatika Dalai INSERTION IN STACK (PUSH OPERATION) This operation is used to insert an element in stack at the TOP of the stack. Algorithm :- PUSH (STACK, TOP, MAXS...",Explain Return.,If TOP = 0 the print Underflow and Return.,Return
26,KIIT POLYTECHNIC Data Structure 21 Swagatika Dalai ARITHMETIC EXPRESSION There are 3 notation to represent an arithmetic expression. 1. Infix notation 2. Prefix notation 3. Postfix notation 1. INFIX N...,What is Operand?,• Here the notation is <Operand><Operator><Operand> • This is called infix because the operators come in between the operands.,Operand
26,KIIT POLYTECHNIC Data Structure 21 Swagatika Dalai ARITHMETIC EXPRESSION There are 3 notation to represent an arithmetic expression. 1. Infix notation 2. Prefix notation 3. Postfix notation 1. INFIX N...,Define Here.,KIIT POLYTECHNIC Data Structure 21 Swagatika Dalai ARITHMETIC EXPRESSION There are 3 notation to represent an arithmetic expression.,Here
26,KIIT POLYTECHNIC Data Structure 21 Swagatika Dalai ARITHMETIC EXPRESSION There are 3 notation to represent an arithmetic expression. 1. Infix notation 2. Prefix notation 3. Postfix notation 1. INFIX N...,What is the purpose of Operator?,• Here the notation is <Operand><Operator><Operand> • This is called infix because the operators come in between the operands.,Operator
27,KIIT POLYTECHNIC Data Structure 22 Swagatika Dalai 3. POSTFIX NOTATION • This notation is called as postfix or suffix notation where operator is suffixed by operand. • Here the notation is <Operand ><...,Define Operand.,POSTFIX NOTATION • This notation is called as postfix or suffix notation where operator is suffixed by operand.,Operand
28,KIIT POLYTECHNIC Data Structure 23 Swagatika Dalai Ex: A+(B*C – (D/E^F)*G)*H) Symbol Scanned STACK EXPRESSION (POSTFIX) ( A ( A + (+ A ( (+( A B (+( AB * (+(* AB C (+(* ABC - (+(- ABC* C (+(-( ABC* D ...,Explain Scan.,KIIT POLYTECHNIC Data Structure 23 Swagatika Dalai Ex: A+(B*C – (D/E^F)*G)*H) Symbol Scanned STACK EXPRESSION (POSTFIX) ( A ( A + (+ A ( (+( A B (+( AB * (+(* AB C (+(* ABC - (+(- ABC* C (+(-( ABC* D (+(-( ABC*D / (+(-(/ ABC*D E (+(-(/ ABC*DE ^ (+(-(/^ ABC*DE F (+(-(/^ ABC*DEF ) (+(- ABC*DEF^/ * (+(-* ABC*DEF^/ G (+(-* ABC*DEF^/G ) (+ ABC*DEF^/G*- * (+* ABC*DEF^/G*- H (+* ABC*DEF^/G*-H ) ABC*DEF^/G*-H*+ Equivalent Postfix Expression : ABC*DEF^/G*-H*+ EVALUATION OF POSTFIX EXPRESSION Algorithm: This algorithm finds the value of an arithmetic expression P written in Postfix notation.,Scan
28,KIIT POLYTECHNIC Data Structure 23 Swagatika Dalai Ex: A+(B*C – (D/E^F)*G)*H) Symbol Scanned STACK EXPRESSION (POSTFIX) ( A ( A + (+ A ( (+( A B (+( AB * (+(* AB C (+(* ABC - (+(- ABC* C (+(-( ABC* D ...,Describe Swagatika Dalai Ex.,KIIT POLYTECHNIC Data Structure 23 Swagatika Dalai Ex: A+(B*C – (D/E^F)*G)*H) Symbol Scanned STACK EXPRESSION (POSTFIX) ( A ( A + (+ A ( (+( A B (+( AB * (+(* AB C (+(* ABC - (+(- ABC* C (+(-( ABC* D (+(-( ABC*D / (+(-(/ ABC*D E (+(-(/ ABC*DE ^ (+(-(/^ ABC*DE F (+(-(/^ ABC*DEF ) (+(- ABC*DEF^/ * (+(-* ABC*DEF^/ G (+(-* ABC*DEF^/G ) (+ ABC*DEF^/G*- * (+* ABC*DEF^/G*- H (+* ABC*DEF^/G*-H ) ABC*DEF^/G*-H*+ Equivalent Postfix Expression : ABC*DEF^/G*-H*+ EVALUATION OF POSTFIX EXPRESSION Algorithm: This algorithm finds the value of an arithmetic expression P written in Postfix notation.,Swagatika Dalai Ex
29,"KIIT POLYTECHNIC Data Structure 24 Swagatika Dalai b) Evaluate B X A. c) Place the result of (b) on STACK. [End of if str.] 5. Set value equal to the top element on STACK. 6. Exit Ex: 5, 6, 2, +, *, 1...",What is STACK?,c) Place the result of (b) on STACK.,STACK
30,KIIT POLYTECHNIC Data Structure 25 Swagatika Dalai I. The function should have a base condition. II. The function should come closer towards the base condition. The following is one of the example of ...,Define Return.,and returns the value in the variable fact.,Return
30,KIIT POLYTECHNIC Data Structure 25 Swagatika Dalai I. The function should have a base condition. II. The function should come closer towards the base condition. The following is one of the example of ...,What is the purpose of Call?,.X (n-) X n Physically proved n !,Call
31,KIIT POLYTECHNIC Data Structure 26 Swagatika Dalai Ex: Calculate the factorial of 4. 4 ! = 4 x 3 ! 3 ! = 3 x 2 ! 2 ! = 2 x 1 ! 1 ! = 1 x 0 ! 0 ! = 1 1 ! = 1 x 1 = 1 2 ! = 2 x 1 = 2 3 ! = 3 x 2 = 6 4 !...,What is Swagatika Dalai Ex?,KIIT POLYTECHNIC Data Structure 26 Swagatika Dalai Ex: Calculate the factorial of 4.,Swagatika Dalai Ex
33,"KIIT POLYTECHNIC Data Structure 28 Swagatika Dalai Rear = Rear +1 3. Q [Rear] = ITEM 4. Exit DELETION IN QUEUE(Dequeue) Algorithm: Delete (Q, ITEM, FRONT, REAR) This procedure remove element from queu...",What is Front?,"Exit DELETION IN QUEUE(Dequeue) Algorithm: Delete (Q, ITEM, FRONT, REAR) This procedure remove element from queue Q.",Front
33,"KIIT POLYTECHNIC Data Structure 28 Swagatika Dalai Rear = Rear +1 3. Q [Rear] = ITEM 4. Exit DELETION IN QUEUE(Dequeue) Algorithm: Delete (Q, ITEM, FRONT, REAR) This procedure remove element from queu...",What is the purpose of FRONT?,"Exit DELETION IN QUEUE(Dequeue) Algorithm: Delete (Q, ITEM, FRONT, REAR) This procedure remove element from queue Q.",FRONT
35,"KIIT POLYTECHNIC Data Structure 31 Swagatika Dalai DELETION ALGORITHM OF CIRCULAR QUEUE Delete (Q, N, ITEM, FRONT, REAR) This procedure delete an element from a circular queue. 1. If Front = NULL then...",What is Front?,"KIIT POLYTECHNIC Data Structure 31 Swagatika Dalai DELETION ALGORITHM OF CIRCULAR QUEUE Delete (Q, N, ITEM, FRONT, REAR) This procedure delete an element from a circular queue.",Front
